id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7cW1wHpSLYgKWzoWlOCPFJ,0.672,0.565,1,-6.504,1,0.441,0.106,0,0.113,0.313,163.827
577YBGuskWkVDCxZrLRB4v,0.964,0.487,10,-6.071,0,0.421,0.00127,6.57e-06,0.115,0.107,127.05
39RWYLt6hgk9BbhkDgaHW9,0.92,0.458,5,-5.643,0,0.315,0.0171,0,0.107,0.403,132.992
1Szfm2XAx3Kgl55dyl8sTU,0.781,0.487,8,-8.823,1,0.589,0.0335,0,0.163,0.344,95.879
4F6yN5FsFW10Ucx7cLCzBh,0.793,0.395,1,-5.578,1,0.385,0.277,1.4e-05,0.109,0.129,77.027
52i143Ph5c3RQaQFBXWix1,0.888,0.432,10,-9.275,0,0.0934,0.0562,0,0.112,0.173,99.965
3yIZgYN7AKO3cDueyhpuCS,0.891,0.525,10,-7.666,0,0.214,0.00214,0,0.0887,0.15,133.126
3zxiTHxE4MxwuYf8aLQ9ax,0.874,0.552,2,-5.997,1,0.383,0.0555,0,0.279,0.231,140.098
6pidGCJ9El17HdXaPO0OO2,0.645,0.595,7,-6.876,1,0.258,0.00112,0,0.084,0.461,159.929
2WqTKOAUmv7hz9ZzGnXHrY,0.932,0.658,1,-7.708,0,0.353,0.207,0,0.118,0.695,109.973
6XeZ32B9HbV6ZrU6NTR2iM,0.736,0.519,0,-6.111,0,0.379,0.219,0,0.143,0.677,139.966
0I1gjYB0yjwYXBn9SVOh3n,0.778,0.646,7,-4.657,1,0.0345,0.0912,0,0.166,0.177,140.04
3xibgHbKeEgSSAXR5z3cwt,0.459,0.606,2,-6.851,1,0.35,0.139,0,0.114,0.55,81.44
1n4jwRVXdkK2U34nBDUKKT,0.357,0.238,8,-16.78,0,0.265,0.142,0.0859,0.55,0.494,156.907
6HZILIRieu8S0iqY8kIKhj,0.638,0.523,1,-6.664,1,0.357,0.00454,0,0.0842,0.422,139.913
4BHSjbYylfOH5WAGusDyni,0.67,0.7,1,-7.893,1,0.196,0.576,5.34e-06,0.226,0.648,69.986
1EaKU4dMbesXXd3BrLCtYG,0.748,0.705,4,-4.547,0,0.485,0.204,0,0.246,0.483,189.891
